
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep  4 10:41:38 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 22 )     411608 bits [Y 41.7628 dB    U 48.4845 dB    V 49.4227 dB] [ET    98 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415400 bits [Y 41.8111 dB    U 48.4505 dB    V 49.3711 dB] [ET    97 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     413016 bits [Y 41.7761 dB    U 48.3814 dB    V 49.3216 dB] [ET    99 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     413456 bits [Y 41.8116 dB    U 48.3054 dB    V 49.2719 dB] [ET    97 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414336 bits [Y 41.8141 dB    U 48.4006 dB    V 49.2995 dB] [ET    97 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414960 bits [Y 41.8067 dB    U 48.3516 dB    V 49.2706 dB] [ET    97 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414648 bits [Y 41.8142 dB    U 48.3715 dB    V 49.2565 dB] [ET    92 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414888 bits [Y 41.7935 dB    U 48.3625 dB    V 49.3230 dB] [ET    91 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415288 bits [Y 41.7987 dB    U 48.4299 dB    V 49.4404 dB] [ET    95 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     413480 bits [Y 41.7814 dB    U 48.4448 dB    V 49.4192 dB] [ET    95 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     413192 bits [Y 41.7877 dB    U 48.3465 dB    V 49.2879 dB] [ET    95 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414296 bits [Y 41.7936 dB    U 48.4664 dB    V 49.2322 dB] [ET   100 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     412144 bits [Y 41.7649 dB    U 48.3127 dB    V 49.2684 dB] [ET    99 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     413432 bits [Y 41.7901 dB    U 48.3941 dB    V 49.3053 dB] [ET    97 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414200 bits [Y 41.7847 dB    U 48.3475 dB    V 49.2440 dB] [ET    96 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     413592 bits [Y 41.7661 dB    U 48.3377 dB    V 49.1763 dB] [ET    95 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     416824 bits [Y 41.8286 dB    U 48.3664 dB    V 49.2970 dB] [ET    95 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415480 bits [Y 41.8036 dB    U 48.5378 dB    V 49.3183 dB] [ET    96 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414448 bits [Y 41.8030 dB    U 48.4104 dB    V 49.3039 dB] [ET    94 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     413472 bits [Y 41.7837 dB    U 48.4164 dB    V 49.2622 dB] [ET    96 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414432 bits [Y 41.7912 dB    U 48.4121 dB    V 49.2777 dB] [ET    95 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415632 bits [Y 41.8141 dB    U 48.3604 dB    V 49.3737 dB] [ET    97 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     413536 bits [Y 41.7860 dB    U 48.2950 dB    V 49.2128 dB] [ET    94 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414824 bits [Y 41.7964 dB    U 48.3890 dB    V 49.3250 dB] [ET    95 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415528 bits [Y 41.8085 dB    U 48.4243 dB    V 49.2546 dB] [ET    96 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415992 bits [Y 41.7848 dB    U 48.3876 dB    V 49.3571 dB] [ET    92 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     416720 bits [Y 41.8113 dB    U 48.3960 dB    V 49.2772 dB] [ET   100 ] [L0] [L1]
