
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep 11 09:34:34 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 37 )      40760 bits [Y 31.4970 dB    U 41.9521 dB    V 42.8198 dB] [ET    36 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41048 bits [Y 31.5018 dB    U 41.5812 dB    V 42.5017 dB] [ET    33 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41432 bits [Y 31.4902 dB    U 42.1180 dB    V 42.7236 dB] [ET    33 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41056 bits [Y 31.4811 dB    U 41.7468 dB    V 42.5330 dB] [ET    33 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      40968 bits [Y 31.4935 dB    U 41.7783 dB    V 42.8684 dB] [ET    32 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41184 bits [Y 31.4977 dB    U 41.7634 dB    V 42.8278 dB] [ET    33 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41304 bits [Y 31.5046 dB    U 41.6768 dB    V 42.5025 dB] [ET    34 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41808 bits [Y 31.4788 dB    U 41.6795 dB    V 42.6616 dB] [ET    36 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41248 bits [Y 31.4898 dB    U 41.9101 dB    V 42.6843 dB] [ET    33 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      40824 bits [Y 31.5028 dB    U 41.6097 dB    V 42.6265 dB] [ET    33 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41344 bits [Y 31.4882 dB    U 41.6576 dB    V 42.7818 dB] [ET    34 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41328 bits [Y 31.4970 dB    U 41.9072 dB    V 42.6450 dB] [ET    34 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      40792 bits [Y 31.4696 dB    U 41.9590 dB    V 42.6670 dB] [ET    33 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      40864 bits [Y 31.4773 dB    U 41.6917 dB    V 42.5109 dB] [ET    33 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41608 bits [Y 31.5093 dB    U 41.6336 dB    V 42.6141 dB] [ET    33 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42096 bits [Y 31.5203 dB    U 41.6792 dB    V 42.7547 dB] [ET    33 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41920 bits [Y 31.4889 dB    U 41.7616 dB    V 42.4817 dB] [ET    33 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41600 bits [Y 31.4880 dB    U 41.6215 dB    V 42.4426 dB] [ET    34 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      40864 bits [Y 31.4793 dB    U 41.5870 dB    V 42.6387 dB] [ET    33 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41296 bits [Y 31.4764 dB    U 41.7101 dB    V 42.4226 dB] [ET    32 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41096 bits [Y 31.4770 dB    U 41.8385 dB    V 42.5652 dB] [ET    35 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41512 bits [Y 31.4966 dB    U 41.7469 dB    V 42.7564 dB] [ET    36 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41088 bits [Y 31.4849 dB    U 41.8074 dB    V 42.5065 dB] [ET    33 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41696 bits [Y 31.4988 dB    U 41.8048 dB    V 42.6222 dB] [ET    34 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42000 bits [Y 31.4985 dB    U 41.7064 dB    V 42.4406 dB] [ET    33 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41744 bits [Y 31.4783 dB    U 41.8239 dB    V 42.4921 dB] [ET    33 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41408 bits [Y 31.4556 dB    U 41.7860 dB    V 42.3403 dB] [ET    33 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41208 bits [Y 31.5164 dB    U 41.6538 dB    V 42.4262 dB] [ET    35 ] [L0] [L1]
