
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep 11 10:21:46 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 27 )     239208 bits [Y 38.0212 dB    U 42.1750 dB    V 42.4194 dB] [ET    92 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240160 bits [Y 38.0513 dB    U 42.2079 dB    V 42.4680 dB] [ET    89 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240872 bits [Y 38.0550 dB    U 42.1792 dB    V 42.4515 dB] [ET    86 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241744 bits [Y 38.0466 dB    U 42.2870 dB    V 42.5808 dB] [ET    89 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240360 bits [Y 38.0364 dB    U 42.1734 dB    V 42.5146 dB] [ET    91 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241472 bits [Y 38.0327 dB    U 42.2885 dB    V 42.6032 dB] [ET    89 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241304 bits [Y 38.0385 dB    U 42.1257 dB    V 42.4136 dB] [ET    91 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241808 bits [Y 38.0359 dB    U 42.0710 dB    V 42.4369 dB] [ET    89 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     242520 bits [Y 38.0628 dB    U 42.1421 dB    V 42.4457 dB] [ET    90 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     238928 bits [Y 38.0535 dB    U 42.1974 dB    V 42.4739 dB] [ET    92 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240112 bits [Y 38.0502 dB    U 42.1801 dB    V 42.5233 dB] [ET    92 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240920 bits [Y 38.0579 dB    U 42.3499 dB    V 42.5643 dB] [ET    91 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241104 bits [Y 38.0594 dB    U 42.3613 dB    V 42.6232 dB] [ET    93 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241240 bits [Y 38.0601 dB    U 42.1760 dB    V 42.5173 dB] [ET    91 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240864 bits [Y 38.0201 dB    U 42.2342 dB    V 42.5622 dB] [ET    94 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241224 bits [Y 38.0554 dB    U 42.2002 dB    V 42.5633 dB] [ET    88 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241184 bits [Y 38.0322 dB    U 42.2050 dB    V 42.5306 dB] [ET    92 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241104 bits [Y 38.0203 dB    U 42.2455 dB    V 42.6227 dB] [ET    89 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239472 bits [Y 38.0415 dB    U 42.1534 dB    V 42.4854 dB] [ET    90 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     238584 bits [Y 38.0043 dB    U 42.1622 dB    V 42.4751 dB] [ET    93 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239920 bits [Y 38.0436 dB    U 42.2218 dB    V 42.4561 dB] [ET    89 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240296 bits [Y 38.0339 dB    U 42.2833 dB    V 42.5949 dB] [ET    89 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240520 bits [Y 38.0316 dB    U 42.2579 dB    V 42.6416 dB] [ET    89 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241704 bits [Y 38.0378 dB    U 42.2446 dB    V 42.5036 dB] [ET    87 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241776 bits [Y 38.0613 dB    U 42.2248 dB    V 42.6427 dB] [ET    87 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240488 bits [Y 38.0190 dB    U 42.3259 dB    V 42.4967 dB] [ET    88 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241272 bits [Y 38.0353 dB    U 42.1929 dB    V 42.4577 dB] [ET    87 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239232 bits [Y 38.0398 dB    U 42.2398 dB    V 42.6059 dB] [ET    87 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241192 bits [Y 38.0705 dB    U 42.2381 dB    V 42.4841 dB] [ET    88 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240416 bits [Y 38.0413 dB    U 42.2958 dB    V 42.5454 dB] [ET    86 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240880 bits [Y 38.0327 dB    U 42.3389 dB    V 42.5925 dB] [ET    85 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240456 bits [Y 38.0399 dB    U 42.2188 dB    V 42.5712 dB] [ET    87 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241976 bits [Y 38.0461 dB    U 42.2667 dB    V 42.5857 dB] [ET    91 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241328 bits [Y 38.0302 dB    U 42.2400 dB    V 42.5749 dB] [ET    87 ] [L0] [L1]
