
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep 11 20:44:00 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 37 )      62712 bits [Y 31.4130 dB    U 38.0906 dB    V 38.5597 dB] [ET    40 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63032 bits [Y 31.4083 dB    U 38.1623 dB    V 38.6526 dB] [ET    41 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62936 bits [Y 31.4028 dB    U 38.0908 dB    V 38.5578 dB] [ET    40 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62480 bits [Y 31.3774 dB    U 37.9341 dB    V 38.3754 dB] [ET    41 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63224 bits [Y 31.4188 dB    U 38.2668 dB    V 38.5490 dB] [ET    39 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63064 bits [Y 31.3811 dB    U 38.1426 dB    V 38.5628 dB] [ET    39 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63864 bits [Y 31.4399 dB    U 38.0987 dB    V 38.5620 dB] [ET    39 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63216 bits [Y 31.4054 dB    U 38.1743 dB    V 38.4551 dB] [ET    40 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62744 bits [Y 31.3889 dB    U 38.1302 dB    V 38.5367 dB] [ET    39 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62616 bits [Y 31.4150 dB    U 38.1760 dB    V 38.5168 dB] [ET    39 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62688 bits [Y 31.4234 dB    U 38.1872 dB    V 38.5916 dB] [ET    38 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62456 bits [Y 31.4152 dB    U 38.0546 dB    V 38.4955 dB] [ET    38 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62360 bits [Y 31.3952 dB    U 38.1893 dB    V 38.6684 dB] [ET    39 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62808 bits [Y 31.4183 dB    U 38.1686 dB    V 38.5591 dB] [ET    39 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63104 bits [Y 31.4224 dB    U 38.0406 dB    V 38.3953 dB] [ET    40 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62728 bits [Y 31.3991 dB    U 38.3232 dB    V 38.4664 dB] [ET    39 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63280 bits [Y 31.4175 dB    U 38.1693 dB    V 38.4426 dB] [ET    39 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62592 bits [Y 31.3990 dB    U 38.1019 dB    V 38.4924 dB] [ET    40 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62712 bits [Y 31.4235 dB    U 38.1516 dB    V 38.5775 dB] [ET    40 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      61920 bits [Y 31.3751 dB    U 38.1619 dB    V 38.6206 dB] [ET    39 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      61888 bits [Y 31.3636 dB    U 38.2078 dB    V 38.5271 dB] [ET    40 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62368 bits [Y 31.3991 dB    U 38.1136 dB    V 38.4967 dB] [ET    41 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62448 bits [Y 31.3974 dB    U 38.0944 dB    V 38.6016 dB] [ET    40 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62776 bits [Y 31.3825 dB    U 38.1003 dB    V 38.4109 dB] [ET    40 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63248 bits [Y 31.4345 dB    U 38.1233 dB    V 38.5299 dB] [ET    41 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63168 bits [Y 31.4223 dB    U 38.1348 dB    V 38.3227 dB] [ET    40 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62472 bits [Y 31.4035 dB    U 38.1898 dB    V 38.3380 dB] [ET    43 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62440 bits [Y 31.3943 dB    U 38.1146 dB    V 38.4785 dB] [ET    40 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63176 bits [Y 31.4495 dB    U 38.2292 dB    V 38.5298 dB] [ET    40 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62832 bits [Y 31.4100 dB    U 38.1969 dB    V 38.3626 dB] [ET    41 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62608 bits [Y 31.3965 dB    U 38.0606 dB    V 38.4264 dB] [ET    43 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62392 bits [Y 31.3890 dB    U 38.1753 dB    V 38.4652 dB] [ET    40 ] [L0] [L1]
