
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep 11 22:53:16 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 32 )      70336 bits [Y 36.9736 dB    U 42.5630 dB    V 47.2694 dB] [ET    38 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70224 bits [Y 36.9617 dB    U 42.6013 dB    V 47.3989 dB] [ET    38 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69848 bits [Y 36.9298 dB    U 42.5995 dB    V 47.5915 dB] [ET    38 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69968 bits [Y 36.9821 dB    U 42.6580 dB    V 47.3405 dB] [ET    40 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69968 bits [Y 36.9740 dB    U 42.5480 dB    V 47.5902 dB] [ET    38 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70256 bits [Y 36.9690 dB    U 42.6480 dB    V 47.3154 dB] [ET    38 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69808 bits [Y 36.9684 dB    U 42.5170 dB    V 47.3758 dB] [ET    38 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70464 bits [Y 36.9768 dB    U 42.5496 dB    V 47.4059 dB] [ET    39 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70024 bits [Y 36.9466 dB    U 42.6180 dB    V 47.3709 dB] [ET    39 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69864 bits [Y 36.9569 dB    U 42.7057 dB    V 47.3182 dB] [ET    38 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70000 bits [Y 36.9594 dB    U 42.5996 dB    V 47.5682 dB] [ET    38 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69824 bits [Y 36.9753 dB    U 42.5727 dB    V 47.2805 dB] [ET    38 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69808 bits [Y 36.9478 dB    U 42.6930 dB    V 47.4667 dB] [ET    38 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70120 bits [Y 36.9738 dB    U 42.5197 dB    V 47.5401 dB] [ET    38 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69544 bits [Y 36.9566 dB    U 42.5685 dB    V 47.2852 dB] [ET    39 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70096 bits [Y 36.9842 dB    U 42.5350 dB    V 47.4446 dB] [ET    38 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69688 bits [Y 36.9603 dB    U 42.5476 dB    V 47.2022 dB] [ET    38 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70384 bits [Y 36.9526 dB    U 42.6935 dB    V 47.2561 dB] [ET    38 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70712 bits [Y 36.9810 dB    U 42.6180 dB    V 47.3347 dB] [ET    39 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70000 bits [Y 36.9345 dB    U 42.6444 dB    V 47.5842 dB] [ET    39 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70240 bits [Y 36.9516 dB    U 42.5324 dB    V 47.3513 dB] [ET    38 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69744 bits [Y 36.9244 dB    U 42.7545 dB    V 47.4332 dB] [ET    38 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70032 bits [Y 36.9583 dB    U 42.5034 dB    V 47.6980 dB] [ET    38 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70152 bits [Y 36.9787 dB    U 42.5370 dB    V 47.4576 dB] [ET    39 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70520 bits [Y 36.9745 dB    U 42.6096 dB    V 47.4439 dB] [ET    39 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70272 bits [Y 36.9702 dB    U 42.6420 dB    V 47.3187 dB] [ET    39 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70528 bits [Y 36.9636 dB    U 42.5288 dB    V 47.4458 dB] [ET    39 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      70400 bits [Y 37.0173 dB    U 42.6408 dB    V 47.0894 dB] [ET    38 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69184 bits [Y 36.9093 dB    U 42.5148 dB    V 47.3143 dB] [ET    39 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69640 bits [Y 36.9497 dB    U 42.5690 dB    V 47.4932 dB] [ET    39 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69272 bits [Y 36.9423 dB    U 42.6594 dB    V 47.4174 dB] [ET    38 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69816 bits [Y 36.9862 dB    U 42.5230 dB    V 47.5605 dB] [ET    38 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      69224 bits [Y 36.9439 dB    U 42.5270 dB    V 47.5999 dB] [ET    38 ] [L0] [L1]
