
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep  4 14:01:21 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 22 )     237456 bits [Y 44.1925 dB    U 48.7891 dB    V 50.2282 dB] [ET    63 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     235872 bits [Y 44.1748 dB    U 48.8619 dB    V 50.3237 dB] [ET    61 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     236552 bits [Y 44.1843 dB    U 48.7910 dB    V 50.3977 dB] [ET    60 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237232 bits [Y 44.1576 dB    U 48.8672 dB    V 50.3912 dB] [ET    60 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237416 bits [Y 44.1576 dB    U 48.7979 dB    V 50.2019 dB] [ET    61 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237192 bits [Y 44.1379 dB    U 48.8817 dB    V 50.2050 dB] [ET    62 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237920 bits [Y 44.1869 dB    U 48.8374 dB    V 50.1059 dB] [ET    58 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238896 bits [Y 44.1983 dB    U 48.6805 dB    V 50.2973 dB] [ET    60 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238520 bits [Y 44.2180 dB    U 48.6436 dB    V 50.2517 dB] [ET    62 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     235200 bits [Y 44.1897 dB    U 48.7331 dB    V 50.2196 dB] [ET    58 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     236280 bits [Y 44.2241 dB    U 48.7002 dB    V 50.4063 dB] [ET    59 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     235320 bits [Y 44.1724 dB    U 48.7891 dB    V 50.3489 dB] [ET    58 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     236640 bits [Y 44.1849 dB    U 48.8732 dB    V 50.3827 dB] [ET    60 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237136 bits [Y 44.2006 dB    U 48.8335 dB    V 50.3733 dB] [ET    61 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     236856 bits [Y 44.1769 dB    U 48.6769 dB    V 50.3647 dB] [ET    59 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237456 bits [Y 44.2360 dB    U 48.7450 dB    V 50.2850 dB] [ET    59 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237760 bits [Y 44.1847 dB    U 48.7622 dB    V 50.2152 dB] [ET    59 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238584 bits [Y 44.2219 dB    U 48.6792 dB    V 50.1461 dB] [ET    60 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     234688 bits [Y 44.1902 dB    U 48.8691 dB    V 50.3448 dB] [ET    60 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     235088 bits [Y 44.2073 dB    U 48.8750 dB    V 50.3370 dB] [ET    59 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     234864 bits [Y 44.1735 dB    U 48.8913 dB    V 50.3120 dB] [ET    60 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     235520 bits [Y 44.1786 dB    U 48.9187 dB    V 50.2593 dB] [ET    59 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     236248 bits [Y 44.1977 dB    U 48.8038 dB    V 50.2457 dB] [ET    59 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     236752 bits [Y 44.1870 dB    U 48.8260 dB    V 50.3308 dB] [ET    59 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     236384 bits [Y 44.1918 dB    U 48.7707 dB    V 50.3382 dB] [ET    60 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237792 bits [Y 44.2052 dB    U 48.7001 dB    V 50.2111 dB] [ET    60 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238520 bits [Y 44.2292 dB    U 48.8729 dB    V 50.2458 dB] [ET    59 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     234288 bits [Y 44.2034 dB    U 48.8651 dB    V 50.2789 dB] [ET    60 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     234384 bits [Y 44.1788 dB    U 48.8370 dB    V 50.4010 dB] [ET    59 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     234904 bits [Y 44.1979 dB    U 48.8675 dB    V 50.4339 dB] [ET    62 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     234928 bits [Y 44.1898 dB    U 48.8248 dB    V 50.3179 dB] [ET    62 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     235424 bits [Y 44.1827 dB    U 48.8421 dB    V 50.2952 dB] [ET    60 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     236032 bits [Y 44.1869 dB    U 48.7237 dB    V 50.3639 dB] [ET    60 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     236496 bits [Y 44.1853 dB    U 48.9090 dB    V 50.3246 dB] [ET    60 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237192 bits [Y 44.1715 dB    U 48.8720 dB    V 50.2701 dB] [ET    57 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     236416 bits [Y 44.1886 dB    U 48.8707 dB    V 50.2185 dB] [ET    60 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     233456 bits [Y 44.2014 dB    U 48.9363 dB    V 50.3655 dB] [ET    59 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     234120 bits [Y 44.1908 dB    U 48.8693 dB    V 50.3954 dB] [ET    61 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     233920 bits [Y 44.1860 dB    U 48.8492 dB    V 50.3985 dB] [ET    59 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     233480 bits [Y 44.1695 dB    U 48.9984 dB    V 50.3009 dB] [ET    62 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     234312 bits [Y 44.1742 dB    U 49.0486 dB    V 50.3811 dB] [ET    58 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     236320 bits [Y 44.2177 dB    U 48.8805 dB    V 50.4402 dB] [ET    58 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     235344 bits [Y 44.2163 dB    U 48.9811 dB    V 50.3158 dB] [ET    60 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     235192 bits [Y 44.1834 dB    U 48.7726 dB    V 50.3945 dB] [ET    60 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     235328 bits [Y 44.2007 dB    U 48.7707 dB    V 50.3629 dB] [ET    60 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     232472 bits [Y 44.1925 dB    U 48.8622 dB    V 50.3249 dB] [ET    58 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     233752 bits [Y 44.1831 dB    U 48.8833 dB    V 50.4129 dB] [ET    58 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     233696 bits [Y 44.2180 dB    U 48.9553 dB    V 50.6455 dB] [ET    60 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     233504 bits [Y 44.1786 dB    U 49.0556 dB    V 50.3174 dB] [ET    61 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     233648 bits [Y 44.1791 dB    U 48.9375 dB    V 50.3174 dB] [ET    60 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     234480 bits [Y 44.1957 dB    U 48.8247 dB    V 50.4975 dB] [ET    61 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     234184 bits [Y 44.2176 dB    U 48.8460 dB    V 50.3055 dB] [ET    59 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     235024 bits [Y 44.1988 dB    U 48.7788 dB    V 50.3037 dB] [ET    61 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     234328 bits [Y 44.1883 dB    U 48.7832 dB    V 50.3191 dB] [ET    60 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     231560 bits [Y 44.1839 dB    U 48.9524 dB    V 50.5076 dB] [ET    61 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     232104 bits [Y 44.1994 dB    U 48.9281 dB    V 50.2830 dB] [ET    60 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     233072 bits [Y 44.2322 dB    U 48.9328 dB    V 50.3199 dB] [ET    57 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     232816 bits [Y 44.2043 dB    U 48.8995 dB    V 50.4309 dB] [ET    59 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     232960 bits [Y 44.1756 dB    U 48.9046 dB    V 50.4663 dB] [ET    58 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     232496 bits [Y 44.1933 dB    U 48.8921 dB    V 50.3081 dB] [ET    58 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     232688 bits [Y 44.2131 dB    U 48.9187 dB    V 50.3308 dB] [ET    60 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     233512 bits [Y 44.2159 dB    U 48.8233 dB    V 50.3500 dB] [ET    59 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     233912 bits [Y 44.2269 dB    U 48.8040 dB    V 50.4334 dB] [ET    58 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     230504 bits [Y 44.1981 dB    U 49.0191 dB    V 50.4558 dB] [ET    60 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     231120 bits [Y 44.2110 dB    U 48.9644 dB    V 50.3611 dB] [ET    58 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     230576 bits [Y 44.1879 dB    U 49.0184 dB    V 50.4058 dB] [ET    60 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     231424 bits [Y 44.2125 dB    U 49.0861 dB    V 50.4279 dB] [ET    60 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     232192 bits [Y 44.2049 dB    U 49.0322 dB    V 50.4741 dB] [ET    60 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     231208 bits [Y 44.1879 dB    U 48.9761 dB    V 50.4935 dB] [ET    59 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     232800 bits [Y 44.2358 dB    U 48.8929 dB    V 50.4784 dB] [ET    60 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     232432 bits [Y 44.2132 dB    U 48.9615 dB    V 50.4346 dB] [ET    57 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     232528 bits [Y 44.2055 dB    U 48.9833 dB    V 50.3446 dB] [ET    62 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     229880 bits [Y 44.2137 dB    U 49.1026 dB    V 50.4809 dB] [ET    62 ] [L0] [L1]
