
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep 11 17:49:45 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 32 )      80888 bits [Y 36.8996 dB    U 44.3009 dB    V 45.4892 dB] [ET    33 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81336 bits [Y 36.9116 dB    U 44.2998 dB    V 45.5618 dB] [ET    34 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81264 bits [Y 36.9213 dB    U 44.1292 dB    V 45.6037 dB] [ET    34 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80576 bits [Y 36.8590 dB    U 44.3141 dB    V 45.5789 dB] [ET    34 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81520 bits [Y 36.8660 dB    U 43.9513 dB    V 45.2778 dB] [ET    34 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81880 bits [Y 36.9080 dB    U 44.0299 dB    V 45.3641 dB] [ET    35 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      82112 bits [Y 36.8912 dB    U 44.1992 dB    V 45.2906 dB] [ET    34 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      82144 bits [Y 36.9109 dB    U 44.0319 dB    V 45.2571 dB] [ET    33 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      82696 bits [Y 36.9124 dB    U 44.2906 dB    V 45.5699 dB] [ET    34 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80576 bits [Y 36.9096 dB    U 44.3930 dB    V 45.5695 dB] [ET    34 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79768 bits [Y 36.8881 dB    U 44.1683 dB    V 45.4799 dB] [ET    33 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80768 bits [Y 36.9106 dB    U 44.2331 dB    V 45.4294 dB] [ET    34 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81288 bits [Y 36.8975 dB    U 44.4376 dB    V 45.4847 dB] [ET    34 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80608 bits [Y 36.8421 dB    U 44.2006 dB    V 45.6567 dB] [ET    34 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80816 bits [Y 36.8580 dB    U 44.1269 dB    V 45.2081 dB] [ET    33 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81392 bits [Y 36.9083 dB    U 44.0534 dB    V 45.3515 dB] [ET    34 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81648 bits [Y 36.8899 dB    U 44.2052 dB    V 45.3717 dB] [ET    37 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      82120 bits [Y 36.9046 dB    U 44.1889 dB    V 45.5543 dB] [ET    35 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80416 bits [Y 36.8994 dB    U 44.3928 dB    V 45.8028 dB] [ET    35 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80544 bits [Y 36.9266 dB    U 44.2436 dB    V 45.2689 dB] [ET    36 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79912 bits [Y 36.8701 dB    U 44.5291 dB    V 45.5575 dB] [ET    35 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81040 bits [Y 36.9258 dB    U 44.5889 dB    V 45.6253 dB] [ET    34 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80520 bits [Y 36.9074 dB    U 44.0289 dB    V 45.2980 dB] [ET    33 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80816 bits [Y 36.8804 dB    U 44.3188 dB    V 45.5918 dB] [ET    34 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81792 bits [Y 36.9522 dB    U 44.4234 dB    V 45.5154 dB] [ET    35 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81632 bits [Y 36.8730 dB    U 44.1871 dB    V 45.7364 dB] [ET    36 ] [L0] [L1]
