
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep 11 19:11:55 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 27 )     189472 bits [Y 38.3849 dB    U 43.4946 dB    V 43.8920 dB] [ET    76 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     190024 bits [Y 38.3766 dB    U 43.4187 dB    V 43.9648 dB] [ET    74 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189320 bits [Y 38.3827 dB    U 43.5096 dB    V 43.8301 dB] [ET    75 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189936 bits [Y 38.4017 dB    U 43.4870 dB    V 43.9751 dB] [ET    70 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188248 bits [Y 38.3569 dB    U 43.4778 dB    V 44.0058 dB] [ET    71 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     190064 bits [Y 38.3725 dB    U 43.6087 dB    V 44.0038 dB] [ET    70 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     190256 bits [Y 38.3931 dB    U 43.5472 dB    V 43.9054 dB] [ET    70 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     190096 bits [Y 38.3966 dB    U 43.5411 dB    V 43.9068 dB] [ET    69 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     190416 bits [Y 38.4179 dB    U 43.4687 dB    V 43.8698 dB] [ET    71 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189552 bits [Y 38.3547 dB    U 43.5243 dB    V 44.0747 dB] [ET    72 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189712 bits [Y 38.3771 dB    U 43.5201 dB    V 43.9202 dB] [ET    71 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189576 bits [Y 38.3853 dB    U 43.5097 dB    V 43.9759 dB] [ET    68 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188544 bits [Y 38.3755 dB    U 43.4812 dB    V 43.8661 dB] [ET    71 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188856 bits [Y 38.3794 dB    U 43.5652 dB    V 43.8474 dB] [ET    70 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     190432 bits [Y 38.4050 dB    U 43.5667 dB    V 43.9871 dB] [ET    69 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189896 bits [Y 38.3860 dB    U 43.5546 dB    V 43.9783 dB] [ET    74 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189520 bits [Y 38.3707 dB    U 43.5479 dB    V 43.9433 dB] [ET    69 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189864 bits [Y 38.3954 dB    U 43.5664 dB    V 43.9763 dB] [ET    70 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     190008 bits [Y 38.3850 dB    U 43.5031 dB    V 43.9962 dB] [ET    69 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188688 bits [Y 38.3527 dB    U 43.4735 dB    V 43.9866 dB] [ET    71 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189040 bits [Y 38.3849 dB    U 43.4965 dB    V 43.9093 dB] [ET    70 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188848 bits [Y 38.3678 dB    U 43.5405 dB    V 43.9294 dB] [ET    70 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189352 bits [Y 38.3883 dB    U 43.5027 dB    V 44.0207 dB] [ET    68 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188912 bits [Y 38.3829 dB    U 43.6518 dB    V 44.0131 dB] [ET    70 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188904 bits [Y 38.3568 dB    U 43.6844 dB    V 44.0333 dB] [ET    72 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188544 bits [Y 38.3554 dB    U 43.6967 dB    V 44.0208 dB] [ET    71 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189784 bits [Y 38.3864 dB    U 43.6450 dB    V 43.9425 dB] [ET    69 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189872 bits [Y 38.3977 dB    U 43.5553 dB    V 43.9941 dB] [ET    71 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189216 bits [Y 38.3732 dB    U 43.5611 dB    V 44.1310 dB] [ET    76 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189608 bits [Y 38.3987 dB    U 43.6301 dB    V 44.0515 dB] [ET    72 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189736 bits [Y 38.4082 dB    U 43.5039 dB    V 44.0223 dB] [ET    69 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188520 bits [Y 38.3793 dB    U 43.6033 dB    V 43.9574 dB] [ET    72 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188720 bits [Y 38.3846 dB    U 43.6235 dB    V 44.0597 dB] [ET    71 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     186968 bits [Y 38.3450 dB    U 43.5648 dB    V 43.9276 dB] [ET    75 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188312 bits [Y 38.3766 dB    U 43.5214 dB    V 43.9854 dB] [ET    71 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188568 bits [Y 38.3765 dB    U 43.5306 dB    V 44.0230 dB] [ET    70 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188720 bits [Y 38.3727 dB    U 43.6083 dB    V 44.1041 dB] [ET    67 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188320 bits [Y 38.3682 dB    U 43.6217 dB    V 44.0493 dB] [ET    70 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189632 bits [Y 38.4100 dB    U 43.6454 dB    V 44.1321 dB] [ET    68 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187768 bits [Y 38.3493 dB    U 43.6271 dB    V 44.0218 dB] [ET    70 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188936 bits [Y 38.3992 dB    U 43.6575 dB    V 44.0512 dB] [ET    70 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188704 bits [Y 38.3879 dB    U 43.6823 dB    V 44.1124 dB] [ET    69 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187384 bits [Y 38.3694 dB    U 43.5578 dB    V 44.0308 dB] [ET    68 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188216 bits [Y 38.3819 dB    U 43.6022 dB    V 43.9467 dB] [ET    67 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188464 bits [Y 38.3936 dB    U 43.6181 dB    V 43.8926 dB] [ET    69 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188320 bits [Y 38.3806 dB    U 43.7045 dB    V 44.2394 dB] [ET    70 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189056 bits [Y 38.3901 dB    U 43.6268 dB    V 44.1556 dB] [ET    69 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189632 bits [Y 38.4099 dB    U 43.6693 dB    V 43.9962 dB] [ET    69 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189664 bits [Y 38.4063 dB    U 43.6687 dB    V 44.0417 dB] [ET    69 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187600 bits [Y 38.3704 dB    U 43.6440 dB    V 44.0569 dB] [ET    68 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187680 bits [Y 38.3832 dB    U 43.6198 dB    V 44.1817 dB] [ET    69 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187808 bits [Y 38.3890 dB    U 43.6741 dB    V 44.0375 dB] [ET    67 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187552 bits [Y 38.3863 dB    U 43.6163 dB    V 44.0337 dB] [ET    68 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188768 bits [Y 38.3969 dB    U 43.6615 dB    V 44.0185 dB] [ET    66 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187992 bits [Y 38.3555 dB    U 43.6812 dB    V 44.1943 dB] [ET    69 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188248 bits [Y 38.3649 dB    U 43.7362 dB    V 44.0592 dB] [ET    70 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188376 bits [Y 38.3903 dB    U 43.6541 dB    V 44.0755 dB] [ET    70 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187656 bits [Y 38.3698 dB    U 43.6709 dB    V 43.9990 dB] [ET    69 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     189008 bits [Y 38.4181 dB    U 43.7050 dB    V 44.0749 dB] [ET    66 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187968 bits [Y 38.3951 dB    U 43.6190 dB    V 44.1233 dB] [ET    75 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187552 bits [Y 38.3865 dB    U 43.5251 dB    V 43.9622 dB] [ET    74 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     188448 bits [Y 38.3864 dB    U 43.6913 dB    V 44.0438 dB] [ET    66 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     187096 bits [Y 38.3630 dB    U 43.5925 dB    V 44.0409 dB] [ET    68 ] [L0] [L1]
