
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep 11 21:54:37 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 37 )      43320 bits [Y 32.4384 dB    U 40.2313 dB    V 40.4951 dB] [ET    29 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43504 bits [Y 32.4386 dB    U 40.2114 dB    V 40.2795 dB] [ET    29 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43608 bits [Y 32.4451 dB    U 40.1869 dB    V 40.3567 dB] [ET    29 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43480 bits [Y 32.4745 dB    U 40.1944 dB    V 40.5090 dB] [ET    29 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43584 bits [Y 32.4822 dB    U 40.3268 dB    V 40.3526 dB] [ET    28 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42736 bits [Y 32.4201 dB    U 40.2737 dB    V 40.2962 dB] [ET    28 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43288 bits [Y 32.4613 dB    U 40.2127 dB    V 40.2760 dB] [ET    27 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43232 bits [Y 32.4424 dB    U 40.3712 dB    V 40.3666 dB] [ET    28 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43448 bits [Y 32.4799 dB    U 40.2858 dB    V 40.1113 dB] [ET    28 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43640 bits [Y 32.4490 dB    U 40.2254 dB    V 40.4248 dB] [ET    29 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43456 bits [Y 32.4644 dB    U 40.2681 dB    V 40.5614 dB] [ET    29 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43328 bits [Y 32.4336 dB    U 40.2219 dB    V 40.4844 dB] [ET    29 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43432 bits [Y 32.4777 dB    U 40.2733 dB    V 40.3754 dB] [ET    29 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43552 bits [Y 32.4680 dB    U 40.2839 dB    V 40.4382 dB] [ET    28 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43344 bits [Y 32.4440 dB    U 40.3379 dB    V 40.5510 dB] [ET    29 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42664 bits [Y 32.4220 dB    U 40.1735 dB    V 40.4348 dB] [ET    29 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42992 bits [Y 32.4328 dB    U 40.2307 dB    V 40.3447 dB] [ET    29 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42976 bits [Y 32.4397 dB    U 40.2887 dB    V 40.4228 dB] [ET    28 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43128 bits [Y 32.4579 dB    U 40.3883 dB    V 40.3656 dB] [ET    29 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43416 bits [Y 32.4724 dB    U 40.2654 dB    V 40.5779 dB] [ET    29 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43392 bits [Y 32.4762 dB    U 40.4134 dB    V 40.4793 dB] [ET    29 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43344 bits [Y 32.4740 dB    U 40.3475 dB    V 40.5717 dB] [ET    28 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42632 bits [Y 32.4207 dB    U 40.2099 dB    V 40.5534 dB] [ET    30 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42776 bits [Y 32.4623 dB    U 40.2661 dB    V 40.3640 dB] [ET    28 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42888 bits [Y 32.4444 dB    U 40.3353 dB    V 40.5237 dB] [ET    28 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42768 bits [Y 32.4381 dB    U 40.1995 dB    V 40.3388 dB] [ET    28 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43088 bits [Y 32.4642 dB    U 40.2785 dB    V 40.3426 dB] [ET    28 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43320 bits [Y 32.4938 dB    U 40.3159 dB    V 40.3722 dB] [ET    28 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42968 bits [Y 32.4303 dB    U 40.4170 dB    V 40.5558 dB] [ET    28 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43256 bits [Y 32.4727 dB    U 40.3046 dB    V 40.4474 dB] [ET    28 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42960 bits [Y 32.4596 dB    U 40.3490 dB    V 40.3577 dB] [ET    29 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42536 bits [Y 32.4426 dB    U 40.4254 dB    V 40.6623 dB] [ET    28 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42488 bits [Y 32.4650 dB    U 40.2400 dB    V 40.5025 dB] [ET    29 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43056 bits [Y 32.5038 dB    U 40.3657 dB    V 40.5845 dB] [ET    28 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42712 bits [Y 32.4506 dB    U 40.3119 dB    V 40.4295 dB] [ET    28 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42832 bits [Y 32.4521 dB    U 40.4435 dB    V 40.4232 dB] [ET    28 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43008 bits [Y 32.4691 dB    U 40.3254 dB    V 40.7263 dB] [ET    28 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42680 bits [Y 32.4306 dB    U 40.3567 dB    V 40.5838 dB] [ET    29 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42480 bits [Y 32.4361 dB    U 40.2686 dB    V 40.7224 dB] [ET    28 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42488 bits [Y 32.4495 dB    U 40.4529 dB    V 40.9371 dB] [ET    28 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42264 bits [Y 32.4475 dB    U 40.3349 dB    V 40.6258 dB] [ET    28 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42400 bits [Y 32.4578 dB    U 40.5153 dB    V 40.5879 dB] [ET    29 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42344 bits [Y 32.4747 dB    U 40.3278 dB    V 40.5589 dB] [ET    28 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42552 bits [Y 32.4875 dB    U 40.3840 dB    V 40.4005 dB] [ET    28 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      43192 bits [Y 32.5146 dB    U 40.3493 dB    V 40.4252 dB] [ET    29 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41952 bits [Y 32.4270 dB    U 40.4650 dB    V 40.6671 dB] [ET    29 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42288 bits [Y 32.4368 dB    U 40.2041 dB    V 40.6475 dB] [ET    28 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42496 bits [Y 32.4648 dB    U 40.3215 dB    V 40.6598 dB] [ET    29 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42784 bits [Y 32.4766 dB    U 40.3924 dB    V 40.7102 dB] [ET    28 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41864 bits [Y 32.4439 dB    U 40.3885 dB    V 40.6926 dB] [ET    28 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41544 bits [Y 32.4264 dB    U 40.3227 dB    V 40.5447 dB] [ET    28 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42136 bits [Y 32.4796 dB    U 40.4314 dB    V 40.6350 dB] [ET    28 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41992 bits [Y 32.4649 dB    U 40.4114 dB    V 40.4862 dB] [ET    28 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42600 bits [Y 32.4762 dB    U 40.4654 dB    V 40.6007 dB] [ET    28 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42488 bits [Y 32.4937 dB    U 40.4506 dB    V 40.6482 dB] [ET    28 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42064 bits [Y 32.4539 dB    U 40.4185 dB    V 40.6704 dB] [ET    29 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42320 bits [Y 32.4738 dB    U 40.3638 dB    V 40.8010 dB] [ET    27 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42960 bits [Y 32.5037 dB    U 40.2798 dB    V 40.5672 dB] [ET    27 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41824 bits [Y 32.4561 dB    U 40.3858 dB    V 40.5616 dB] [ET    28 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42504 bits [Y 32.4987 dB    U 40.5438 dB    V 40.7249 dB] [ET    27 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42056 bits [Y 32.4626 dB    U 40.3458 dB    V 40.6579 dB] [ET    27 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42296 bits [Y 32.4799 dB    U 40.5639 dB    V 40.5927 dB] [ET    27 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41896 bits [Y 32.4576 dB    U 40.3988 dB    V 40.5621 dB] [ET    28 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42560 bits [Y 32.4814 dB    U 40.5023 dB    V 40.7955 dB] [ET    27 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41896 bits [Y 32.4222 dB    U 40.4451 dB    V 40.7833 dB] [ET    28 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41824 bits [Y 32.4239 dB    U 40.3043 dB    V 40.8307 dB] [ET    27 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42336 bits [Y 32.4567 dB    U 40.5297 dB    V 40.7878 dB] [ET    28 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41816 bits [Y 32.4283 dB    U 40.3859 dB    V 40.5795 dB] [ET    28 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41544 bits [Y 32.4125 dB    U 40.4460 dB    V 40.6921 dB] [ET    28 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41680 bits [Y 32.4445 dB    U 40.4527 dB    V 40.7554 dB] [ET    28 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41592 bits [Y 32.4187 dB    U 40.4808 dB    V 40.6670 dB] [ET    28 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42216 bits [Y 32.4742 dB    U 40.5351 dB    V 40.6613 dB] [ET    27 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42288 bits [Y 32.4857 dB    U 40.4524 dB    V 40.7967 dB] [ET    28 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41480 bits [Y 32.4366 dB    U 40.4466 dB    V 40.7701 dB] [ET    27 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42488 bits [Y 32.5019 dB    U 40.4870 dB    V 40.8181 dB] [ET    28 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41656 bits [Y 32.4453 dB    U 40.5363 dB    V 40.7944 dB] [ET    28 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      42080 bits [Y 32.4873 dB    U 40.6247 dB    V 40.9668 dB] [ET    28 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41920 bits [Y 32.4737 dB    U 40.4683 dB    V 40.8705 dB] [ET    28 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41552 bits [Y 32.4707 dB    U 40.5041 dB    V 40.7973 dB] [ET    28 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41704 bits [Y 32.4564 dB    U 40.4805 dB    V 40.8161 dB] [ET    27 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      41952 bits [Y 32.4527 dB    U 40.6231 dB    V 40.7723 dB] [ET    29 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  2556.4444    32.4582  40.3660  40.5739  33.8884  

 finished @ Mon Sep 11 22:33:23 2023
 Total Time:     2325.856 sec. [user]     2325.857 sec. [elapsed]
