
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Wed Sep  6 17:08:59 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 32 )      61800 bits [Y 36.9038 dB    U 38.3511 dB    V 39.6099 dB] [ET    37 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62552 bits [Y 36.9611 dB    U 38.4434 dB    V 39.5156 dB] [ET    37 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62416 bits [Y 36.9569 dB    U 38.3780 dB    V 39.6070 dB] [ET    38 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62896 bits [Y 36.9520 dB    U 38.4300 dB    V 39.5571 dB] [ET    38 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62560 bits [Y 36.9431 dB    U 38.4130 dB    V 39.5041 dB] [ET    37 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62640 bits [Y 36.9436 dB    U 38.5067 dB    V 39.5130 dB] [ET    37 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62000 bits [Y 36.9166 dB    U 38.4308 dB    V 39.4667 dB] [ET    37 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61664 bits [Y 36.9034 dB    U 38.3864 dB    V 39.5069 dB] [ET    37 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61944 bits [Y 36.9249 dB    U 38.3836 dB    V 39.5231 dB] [ET    37 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62136 bits [Y 36.9368 dB    U 38.3989 dB    V 39.5313 dB] [ET    38 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62008 bits [Y 36.9265 dB    U 38.4028 dB    V 39.5373 dB] [ET    37 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61496 bits [Y 36.9014 dB    U 38.4878 dB    V 39.4690 dB] [ET    37 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62296 bits [Y 36.9354 dB    U 38.3793 dB    V 39.6652 dB] [ET    37 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62000 bits [Y 36.9131 dB    U 38.3830 dB    V 39.4861 dB] [ET    37 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62328 bits [Y 36.9127 dB    U 38.4782 dB    V 39.4966 dB] [ET    37 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62480 bits [Y 36.9453 dB    U 38.4704 dB    V 39.6048 dB] [ET    37 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62200 bits [Y 36.9359 dB    U 38.4260 dB    V 39.5302 dB] [ET    36 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61896 bits [Y 36.9150 dB    U 38.5198 dB    V 39.5957 dB] [ET    38 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61504 bits [Y 36.8923 dB    U 38.3192 dB    V 39.5062 dB] [ET    37 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61520 bits [Y 36.9058 dB    U 38.3770 dB    V 39.5269 dB] [ET    37 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61856 bits [Y 36.9217 dB    U 38.4319 dB    V 39.5014 dB] [ET    37 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61440 bits [Y 36.8745 dB    U 38.3491 dB    V 39.5470 dB] [ET    37 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62064 bits [Y 36.9127 dB    U 38.3616 dB    V 39.5019 dB] [ET    36 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61568 bits [Y 36.8896 dB    U 38.2668 dB    V 39.5274 dB] [ET    37 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61496 bits [Y 36.8898 dB    U 38.4050 dB    V 39.5840 dB] [ET    37 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61200 bits [Y 36.8764 dB    U 38.3338 dB    V 39.5681 dB] [ET    36 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      62288 bits [Y 36.9649 dB    U 38.4404 dB    V 39.5455 dB] [ET    37 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61328 bits [Y 36.8656 dB    U 38.3935 dB    V 39.5803 dB] [ET    37 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      61504 bits [Y 36.9007 dB    U 38.3372 dB    V 39.4702 dB] [ET    37 ] [L0] [L1]
