
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Fri Sep  8 14:23:26 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 37 )      29912 bits [Y 34.1911 dB    U 37.0306 dB    V 37.9042 dB] [ET    25 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29832 bits [Y 34.1706 dB    U 36.8944 dB    V 37.8795 dB] [ET    23 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29944 bits [Y 34.1953 dB    U 36.9322 dB    V 37.8072 dB] [ET    23 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29912 bits [Y 34.1908 dB    U 36.9055 dB    V 37.6609 dB] [ET    23 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29984 bits [Y 34.1898 dB    U 37.0061 dB    V 37.7249 dB] [ET    23 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30144 bits [Y 34.1851 dB    U 36.9430 dB    V 37.7296 dB] [ET    23 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29840 bits [Y 34.2129 dB    U 36.9302 dB    V 37.7324 dB] [ET    23 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30112 bits [Y 34.1968 dB    U 36.9424 dB    V 37.8274 dB] [ET    23 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29768 bits [Y 34.1297 dB    U 37.0600 dB    V 37.9127 dB] [ET    23 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29880 bits [Y 34.2045 dB    U 36.8417 dB    V 37.7756 dB] [ET    23 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30232 bits [Y 34.2117 dB    U 36.8882 dB    V 37.9869 dB] [ET    25 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30160 bits [Y 34.2266 dB    U 36.9496 dB    V 37.9355 dB] [ET    25 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30200 bits [Y 34.2272 dB    U 36.9251 dB    V 37.9569 dB] [ET    24 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29864 bits [Y 34.1723 dB    U 36.9277 dB    V 37.8131 dB] [ET    24 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30464 bits [Y 34.2325 dB    U 36.9445 dB    V 37.7745 dB] [ET    23 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30368 bits [Y 34.2144 dB    U 36.9486 dB    V 37.7012 dB] [ET    23 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30200 bits [Y 34.2035 dB    U 36.9409 dB    V 37.8151 dB] [ET    24 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30232 bits [Y 34.2038 dB    U 36.9316 dB    V 37.8424 dB] [ET    23 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29976 bits [Y 34.2099 dB    U 36.9534 dB    V 37.8009 dB] [ET    23 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30128 bits [Y 34.2074 dB    U 36.9039 dB    V 37.8982 dB] [ET    22 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29904 bits [Y 34.2023 dB    U 36.9641 dB    V 37.8739 dB] [ET    23 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30112 bits [Y 34.2255 dB    U 36.9952 dB    V 37.9457 dB] [ET    25 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30144 bits [Y 34.2145 dB    U 36.9077 dB    V 37.8235 dB] [ET    23 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30184 bits [Y 34.2311 dB    U 36.9626 dB    V 37.8925 dB] [ET    23 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30256 bits [Y 34.2217 dB    U 37.0188 dB    V 37.8551 dB] [ET    22 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30024 bits [Y 34.1949 dB    U 36.9390 dB    V 37.8554 dB] [ET    23 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30080 bits [Y 34.2198 dB    U 37.0573 dB    V 37.8698 dB] [ET    23 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29792 bits [Y 34.1736 dB    U 36.8861 dB    V 37.8807 dB] [ET    23 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29664 bits [Y 34.1706 dB    U 36.9475 dB    V 37.8742 dB] [ET    24 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29984 bits [Y 34.2162 dB    U 36.9445 dB    V 37.9223 dB] [ET    23 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30336 bits [Y 34.2280 dB    U 37.0270 dB    V 37.9001 dB] [ET    22 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29920 bits [Y 34.2124 dB    U 36.9054 dB    V 37.6340 dB] [ET    22 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29952 bits [Y 34.1825 dB    U 36.9476 dB    V 37.8005 dB] [ET    22 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29728 bits [Y 34.1915 dB    U 36.8766 dB    V 37.7828 dB] [ET    22 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29928 bits [Y 34.1935 dB    U 37.0353 dB    V 37.9025 dB] [ET    22 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30024 bits [Y 34.1976 dB    U 36.9480 dB    V 37.7377 dB] [ET    21 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29624 bits [Y 34.1690 dB    U 36.9317 dB    V 37.7902 dB] [ET    23 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29768 bits [Y 34.1628 dB    U 36.9853 dB    V 37.7690 dB] [ET    22 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30088 bits [Y 34.2101 dB    U 36.8804 dB    V 37.8782 dB] [ET    22 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30000 bits [Y 34.1987 dB    U 36.8071 dB    V 37.8587 dB] [ET    22 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29952 bits [Y 34.2271 dB    U 36.9580 dB    V 37.9126 dB] [ET    22 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30016 bits [Y 34.2004 dB    U 36.8556 dB    V 37.7512 dB] [ET    22 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29952 bits [Y 34.2005 dB    U 36.8319 dB    V 37.8317 dB] [ET    22 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29792 bits [Y 34.1817 dB    U 36.8163 dB    V 37.8815 dB] [ET    22 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29792 bits [Y 34.1457 dB    U 36.9650 dB    V 37.8783 dB] [ET    23 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29496 bits [Y 34.1533 dB    U 36.9550 dB    V 37.8314 dB] [ET    23 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29632 bits [Y 34.2107 dB    U 36.9032 dB    V 37.8395 dB] [ET    24 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29792 bits [Y 34.1963 dB    U 36.8390 dB    V 37.8908 dB] [ET    23 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30440 bits [Y 34.2367 dB    U 36.8845 dB    V 37.8488 dB] [ET    22 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30104 bits [Y 34.2070 dB    U 36.9670 dB    V 37.8594 dB] [ET    23 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30216 bits [Y 34.2323 dB    U 36.8987 dB    V 37.8421 dB] [ET    23 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29896 bits [Y 34.2242 dB    U 36.9196 dB    V 37.7562 dB] [ET    23 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29768 bits [Y 34.1816 dB    U 36.9795 dB    V 37.8915 dB] [ET    23 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29976 bits [Y 34.1820 dB    U 37.0354 dB    V 37.8723 dB] [ET    22 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29808 bits [Y 34.1994 dB    U 36.8804 dB    V 37.7679 dB] [ET    23 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30024 bits [Y 34.2458 dB    U 36.9140 dB    V 37.8480 dB] [ET    22 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29776 bits [Y 34.1836 dB    U 36.8741 dB    V 37.7257 dB] [ET    22 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29952 bits [Y 34.1904 dB    U 36.9555 dB    V 37.8799 dB] [ET    23 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29728 bits [Y 34.2325 dB    U 36.7763 dB    V 37.7679 dB] [ET    22 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29808 bits [Y 34.2060 dB    U 36.9376 dB    V 37.7947 dB] [ET    22 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29888 bits [Y 34.2053 dB    U 36.9085 dB    V 37.8894 dB] [ET    22 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29840 bits [Y 34.1822 dB    U 37.0125 dB    V 37.8869 dB] [ET    22 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29744 bits [Y 34.2162 dB    U 36.8994 dB    V 37.7969 dB] [ET    22 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29672 bits [Y 34.2029 dB    U 36.9002 dB    V 37.9206 dB] [ET    23 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29856 bits [Y 34.1802 dB    U 36.9965 dB    V 37.7489 dB] [ET    23 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29664 bits [Y 34.1957 dB    U 36.8864 dB    V 37.8846 dB] [ET    24 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30024 bits [Y 34.2044 dB    U 36.8726 dB    V 38.0255 dB] [ET    23 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30240 bits [Y 34.2660 dB    U 36.8575 dB    V 37.8613 dB] [ET    23 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30208 bits [Y 34.2174 dB    U 36.9934 dB    V 37.9024 dB] [ET    23 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29576 bits [Y 34.1877 dB    U 36.8649 dB    V 37.8525 dB] [ET    22 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29624 bits [Y 34.1935 dB    U 36.9133 dB    V 37.8542 dB] [ET    23 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30056 bits [Y 34.2073 dB    U 37.0029 dB    V 38.0100 dB] [ET    22 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29624 bits [Y 34.1617 dB    U 36.8564 dB    V 37.8753 dB] [ET    22 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29480 bits [Y 34.1613 dB    U 36.8953 dB    V 37.9063 dB] [ET    22 ] [L0] [L1]
