
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Fri Sep  8 14:54:52 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 27 )      76040 bits [Y 41.4332 dB    U 44.1409 dB    V 43.6905 dB] [ET    44 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76112 bits [Y 41.4117 dB    U 44.2282 dB    V 43.6341 dB] [ET    45 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76328 bits [Y 41.4283 dB    U 44.2736 dB    V 43.8217 dB] [ET    42 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76296 bits [Y 41.4138 dB    U 44.2050 dB    V 43.8114 dB] [ET    44 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76072 bits [Y 41.3938 dB    U 44.1738 dB    V 43.7098 dB] [ET    45 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76656 bits [Y 41.4058 dB    U 44.2706 dB    V 43.7866 dB] [ET    44 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76440 bits [Y 41.3902 dB    U 44.2771 dB    V 43.7316 dB] [ET    43 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75368 bits [Y 41.3582 dB    U 44.2083 dB    V 43.7746 dB] [ET    43 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75608 bits [Y 41.3830 dB    U 44.2076 dB    V 43.7365 dB] [ET    43 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75328 bits [Y 41.3820 dB    U 44.2645 dB    V 43.7597 dB] [ET    43 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75864 bits [Y 41.3868 dB    U 44.2190 dB    V 43.7481 dB] [ET    43 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76008 bits [Y 41.3996 dB    U 44.1277 dB    V 43.8588 dB] [ET    42 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75648 bits [Y 41.3648 dB    U 44.2953 dB    V 43.8215 dB] [ET    45 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76000 bits [Y 41.4079 dB    U 44.0722 dB    V 43.6877 dB] [ET    43 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76584 bits [Y 41.4016 dB    U 44.2970 dB    V 43.7772 dB] [ET    45 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75296 bits [Y 41.3607 dB    U 44.1796 dB    V 43.7292 dB] [ET    45 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76016 bits [Y 41.3912 dB    U 44.3443 dB    V 43.8595 dB] [ET    44 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76208 bits [Y 41.4137 dB    U 44.3206 dB    V 43.7277 dB] [ET    43 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76336 bits [Y 41.4049 dB    U 44.2742 dB    V 43.7712 dB] [ET    45 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76088 bits [Y 41.4097 dB    U 44.2148 dB    V 43.7058 dB] [ET    43 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75368 bits [Y 41.3632 dB    U 44.3139 dB    V 43.8060 dB] [ET    42 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76200 bits [Y 41.4098 dB    U 44.3782 dB    V 43.6805 dB] [ET    43 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75920 bits [Y 41.3798 dB    U 44.1962 dB    V 43.7537 dB] [ET    42 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76344 bits [Y 41.3971 dB    U 44.3649 dB    V 43.7522 dB] [ET    44 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76152 bits [Y 41.3724 dB    U 44.3421 dB    V 43.7923 dB] [ET    44 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76400 bits [Y 41.4287 dB    U 44.3233 dB    V 43.7809 dB] [ET    43 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75640 bits [Y 41.3590 dB    U 44.2070 dB    V 43.7762 dB] [ET    45 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75512 bits [Y 41.3988 dB    U 44.2691 dB    V 43.7812 dB] [ET    44 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76000 bits [Y 41.4130 dB    U 44.3217 dB    V 43.6663 dB] [ET    44 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75408 bits [Y 41.3977 dB    U 44.1881 dB    V 43.6836 dB] [ET    43 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75728 bits [Y 41.3696 dB    U 44.3020 dB    V 43.7339 dB] [ET    42 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76280 bits [Y 41.3820 dB    U 44.3355 dB    V 43.7643 dB] [ET    42 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76048 bits [Y 41.3623 dB    U 44.1992 dB    V 43.8558 dB] [ET    43 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76064 bits [Y 41.3809 dB    U 44.3172 dB    V 43.7057 dB] [ET    42 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75808 bits [Y 41.3939 dB    U 44.3387 dB    V 43.6661 dB] [ET    44 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75976 bits [Y 41.3895 dB    U 44.2184 dB    V 43.7595 dB] [ET    44 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76408 bits [Y 41.4326 dB    U 44.2870 dB    V 43.7583 dB] [ET    44 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75728 bits [Y 41.3745 dB    U 44.2801 dB    V 43.8111 dB] [ET    46 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75440 bits [Y 41.4043 dB    U 44.1950 dB    V 43.7422 dB] [ET    45 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75568 bits [Y 41.3866 dB    U 44.1984 dB    V 43.7959 dB] [ET    45 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76304 bits [Y 41.4038 dB    U 44.2767 dB    V 43.8468 dB] [ET    46 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76160 bits [Y 41.3885 dB    U 44.3058 dB    V 43.7218 dB] [ET    46 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75432 bits [Y 41.3618 dB    U 44.2267 dB    V 43.7299 dB] [ET    47 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75512 bits [Y 41.3904 dB    U 44.2425 dB    V 43.7030 dB] [ET    46 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75672 bits [Y 41.3734 dB    U 44.1934 dB    V 43.7048 dB] [ET    47 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75384 bits [Y 41.3937 dB    U 44.1708 dB    V 43.7247 dB] [ET    44 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76064 bits [Y 41.4071 dB    U 44.3478 dB    V 43.7684 dB] [ET    44 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75736 bits [Y 41.3946 dB    U 44.1290 dB    V 43.6892 dB] [ET    45 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76144 bits [Y 41.3974 dB    U 44.2255 dB    V 43.7690 dB] [ET    44 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76376 bits [Y 41.4053 dB    U 44.2034 dB    V 43.7341 dB] [ET    46 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76384 bits [Y 41.4130 dB    U 44.3851 dB    V 43.7301 dB] [ET    46 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76168 bits [Y 41.3843 dB    U 44.3311 dB    V 43.7389 dB] [ET    48 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75944 bits [Y 41.4005 dB    U 44.1913 dB    V 43.6703 dB] [ET    45 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75712 bits [Y 41.3623 dB    U 44.2176 dB    V 43.8077 dB] [ET    43 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75688 bits [Y 41.3911 dB    U 44.2172 dB    V 43.8351 dB] [ET    42 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75552 bits [Y 41.3883 dB    U 44.2823 dB    V 43.7546 dB] [ET    43 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75936 bits [Y 41.4037 dB    U 44.2773 dB    V 43.7770 dB] [ET    44 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75520 bits [Y 41.3990 dB    U 44.2258 dB    V 43.7571 dB] [ET    43 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75832 bits [Y 41.3895 dB    U 44.2987 dB    V 43.6448 dB] [ET    44 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75968 bits [Y 41.3931 dB    U 44.2444 dB    V 43.8068 dB] [ET    43 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76000 bits [Y 41.4074 dB    U 44.3010 dB    V 43.7836 dB] [ET    43 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76576 bits [Y 41.4260 dB    U 44.2642 dB    V 43.7369 dB] [ET    43 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75728 bits [Y 41.3959 dB    U 44.1905 dB    V 43.7937 dB] [ET    43 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75752 bits [Y 41.4513 dB    U 44.1411 dB    V 43.7728 dB] [ET    40 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76232 bits [Y 41.4057 dB    U 44.2464 dB    V 43.7787 dB] [ET    40 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76104 bits [Y 41.4028 dB    U 44.3500 dB    V 43.7476 dB] [ET    40 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75912 bits [Y 41.4104 dB    U 44.3015 dB    V 43.8731 dB] [ET    41 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75888 bits [Y 41.4007 dB    U 44.1713 dB    V 43.8183 dB] [ET    40 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76072 bits [Y 41.4092 dB    U 44.2510 dB    V 43.7259 dB] [ET    41 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75600 bits [Y 41.3837 dB    U 44.2626 dB    V 43.6606 dB] [ET    41 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75624 bits [Y 41.3876 dB    U 44.3129 dB    V 43.7551 dB] [ET    39 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75816 bits [Y 41.4052 dB    U 44.3104 dB    V 43.7466 dB] [ET    38 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75336 bits [Y 41.3900 dB    U 44.1531 dB    V 43.7334 dB] [ET    39 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      75664 bits [Y 41.3981 dB    U 44.2481 dB    V 43.7453 dB] [ET    38 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )      76216 bits [Y 41.4397 dB    U 44.2893 dB    V 43.7787 dB] [ET    39 ] [L0] [L1]
