
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep 11 10:13:13 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 37 )      23048 bits [Y 36.0667 dB    U 40.2594 dB    V 40.0615 dB] [ET    18 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23376 bits [Y 36.0354 dB    U 40.2527 dB    V 40.0180 dB] [ET    16 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23096 bits [Y 36.0015 dB    U 40.0708 dB    V 39.9084 dB] [ET    17 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23248 bits [Y 36.0294 dB    U 40.3575 dB    V 40.0558 dB] [ET    18 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23336 bits [Y 36.0654 dB    U 40.1032 dB    V 39.9406 dB] [ET    16 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23208 bits [Y 36.0437 dB    U 40.2653 dB    V 39.9866 dB] [ET    17 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23368 bits [Y 36.0560 dB    U 40.2640 dB    V 40.0068 dB] [ET    17 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23040 bits [Y 36.0069 dB    U 40.4585 dB    V 40.1111 dB] [ET    16 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23192 bits [Y 35.9982 dB    U 40.3591 dB    V 40.2066 dB] [ET    18 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23160 bits [Y 36.0511 dB    U 40.2922 dB    V 39.9524 dB] [ET    17 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23136 bits [Y 36.0220 dB    U 40.1566 dB    V 39.8532 dB] [ET    16 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23464 bits [Y 36.0615 dB    U 40.3719 dB    V 39.9850 dB] [ET    17 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23272 bits [Y 36.0315 dB    U 40.1772 dB    V 39.8924 dB] [ET    17 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23216 bits [Y 36.0331 dB    U 40.2342 dB    V 39.7787 dB] [ET    17 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23280 bits [Y 36.0442 dB    U 40.0332 dB    V 39.8933 dB] [ET    17 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23272 bits [Y 36.0171 dB    U 40.1465 dB    V 40.1379 dB] [ET    18 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23704 bits [Y 36.1103 dB    U 40.3616 dB    V 40.2127 dB] [ET    17 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23400 bits [Y 36.0177 dB    U 40.3056 dB    V 40.0353 dB] [ET    17 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23440 bits [Y 36.0628 dB    U 40.2064 dB    V 40.0494 dB] [ET    15 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23352 bits [Y 36.0164 dB    U 40.1990 dB    V 40.1226 dB] [ET    16 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23288 bits [Y 36.0071 dB    U 40.2759 dB    V 39.9761 dB] [ET    15 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      22976 bits [Y 36.0227 dB    U 40.2630 dB    V 39.8852 dB] [ET    17 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23312 bits [Y 36.0245 dB    U 40.2502 dB    V 40.0749 dB] [ET    16 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23448 bits [Y 36.0636 dB    U 40.3834 dB    V 39.9462 dB] [ET    16 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23368 bits [Y 36.0316 dB    U 40.3384 dB    V 39.8858 dB] [ET    17 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23304 bits [Y 36.0019 dB    U 40.2535 dB    V 40.1082 dB] [ET    17 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23464 bits [Y 36.0724 dB    U 40.2855 dB    V 40.0402 dB] [ET    18 ] [L0] [L1]
