
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep  4 15:26:59 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 22 )     588984 bits [Y 41.9521 dB    U 44.8978 dB    V 43.2892 dB] [ET    99 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     588752 bits [Y 41.9513 dB    U 44.8544 dB    V 43.3185 dB] [ET    98 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     589240 bits [Y 41.9466 dB    U 44.8864 dB    V 43.3052 dB] [ET   101 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     589032 bits [Y 41.9524 dB    U 44.8567 dB    V 43.2707 dB] [ET   102 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     589072 bits [Y 41.9438 dB    U 44.9090 dB    V 43.3199 dB] [ET    99 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     590280 bits [Y 41.9473 dB    U 44.8282 dB    V 43.3254 dB] [ET   100 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     590568 bits [Y 41.9677 dB    U 44.9103 dB    V 43.3576 dB] [ET   100 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     589320 bits [Y 41.9365 dB    U 44.8870 dB    V 43.3012 dB] [ET   100 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     589248 bits [Y 41.9530 dB    U 44.8890 dB    V 43.3382 dB] [ET    99 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     588912 bits [Y 41.9391 dB    U 44.9018 dB    V 43.2773 dB] [ET    99 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     588600 bits [Y 41.9464 dB    U 44.8548 dB    V 43.3146 dB] [ET    99 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     588000 bits [Y 41.9271 dB    U 44.8734 dB    V 43.2780 dB] [ET    97 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     590328 bits [Y 41.9774 dB    U 44.9192 dB    V 43.3177 dB] [ET   102 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     589064 bits [Y 41.9381 dB    U 44.7867 dB    V 43.3421 dB] [ET   101 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     589016 bits [Y 41.9486 dB    U 44.8783 dB    V 43.2803 dB] [ET    98 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     589848 bits [Y 41.9457 dB    U 44.9032 dB    V 43.3492 dB] [ET   102 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     588424 bits [Y 41.9442 dB    U 44.8749 dB    V 43.2947 dB] [ET   100 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     588840 bits [Y 41.9582 dB    U 44.8119 dB    V 43.2734 dB] [ET    99 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     588976 bits [Y 41.9279 dB    U 44.8291 dB    V 43.3469 dB] [ET   100 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     589808 bits [Y 41.9543 dB    U 44.9668 dB    V 43.2686 dB] [ET   100 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     588872 bits [Y 41.9419 dB    U 44.9308 dB    V 43.2528 dB] [ET   101 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     590184 bits [Y 41.9421 dB    U 44.9166 dB    V 43.2997 dB] [ET   101 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     588512 bits [Y 41.9345 dB    U 44.8423 dB    V 43.2718 dB] [ET    97 ] [L0] [L1]
