
VVCSoftware: VTM Encoder Version 17.0 [Windows][VS 1929][64 bit] [SIMD=AVX2] 

TOOL CFG: IBD:0 HAD:1 RDQ:1 RDQTS:1 RDpenalty:0 LQP:0 SQP:0 ASR:0 MinSearchWindow:8 RestrictMESampling:0 FEN:1 ECU:0 FDM:1 ESD:0 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:5 ChromaTS:1 BDPCM:0 Tiles: 1x1 Slices: 1 MCTS:0 SAO:1 ALF:1 CCALF:1 MaxNumALFAPSConstantJointCbCrSignFlagWPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1  DQ:1  SignBitHidingFlag:0 RecalQP:0 
TOOL CFG: LFNST:1 MMVD:1 Affine:1 AffineType:1 AdaptBypassAffineMe:0 PROF:0 SbTMVP:1 DualITree:1 IMV:1 BIO:0 LMChroma:1 HorCollocatedChroma:1 VerCollocatedChroma:0 MTS:1(explicit intra) SBT:1 ISP:1 SMVD:0 CompositeLTReference:0 Bcw:0 BcwFast:0 LADF:0 CIIP:0 Geo:0 AllowDisFracMMVD:1 AffineAmvr:0 AffineAmvrEncOpt:0 AffineAmvp:1 DMVR:0 MmvdDisNum:8 JointCbCr:1 ACT:0 PLT:0 IBC:0 HashME:0 WrapAround:0 VirtualBoundariesEnabledFlag:0 VirtualBoundariesPresentInSPSFlag:1 vertical virtual boundaries:[ ] horizontal virtual boundaries:[ ] Reshape:1 (Signal:SDR Opt:0 CSoffset:2) MRL:1 MIP:1 EncDbOpt:0 
FAST TOOL CFG: LCTUFast:1 FastMrg:1 PBIntraFast:1 IMV4PelFast:1 MTSMaxCand: 4(intra) 4(inter) ISPFast:1 FastLFNST:1 AMaxBT:1 E0023FastEnc:1 ContentBasedFastQtbt:0 UseNonLinearAlfLuma:1 UseNonLinearAlfChroma:1 MaxNumAlfAlternativesChroma:8 FastMIP:1 TTFastSkip:31 TTFastSkipThr:1.075 FastLocalDualTree:0 RPR:0 TemporalFilter:4/4 SEI CTI:0 BIM:0 


 started @ Mon Sep 11 10:36:19 2023
POC    0 LId:  0 TId: 0 ( IDR_N_LP, I-SLICE, QP 27 )     382920 bits [Y 37.6207 dB    U 41.6137 dB    V 40.1750 dB] [ET    94 ] [L0] [L1]
POC    1 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     381680 bits [Y 37.5988 dB    U 41.6447 dB    V 40.1209 dB] [ET    94 ] [L0] [L1]
POC    2 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     381040 bits [Y 37.5723 dB    U 41.7539 dB    V 40.2031 dB] [ET    94 ] [L0] [L1]
POC    3 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     382256 bits [Y 37.6165 dB    U 41.6911 dB    V 40.0811 dB] [ET    95 ] [L0] [L1]
POC    4 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     382496 bits [Y 37.6108 dB    U 41.5937 dB    V 40.1479 dB] [ET    94 ] [L0] [L1]
POC    5 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     383496 bits [Y 37.6185 dB    U 41.6273 dB    V 40.1527 dB] [ET    92 ] [L0] [L1]
POC    6 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     384088 bits [Y 37.6100 dB    U 41.6154 dB    V 40.1942 dB] [ET    91 ] [L0] [L1]
POC    7 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     381920 bits [Y 37.5933 dB    U 41.5918 dB    V 40.1755 dB] [ET    90 ] [L0] [L1]
POC    8 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     382864 bits [Y 37.6149 dB    U 41.6045 dB    V 40.1642 dB] [ET    87 ] [L0] [L1]
POC    9 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     381816 bits [Y 37.5860 dB    U 41.6372 dB    V 40.1778 dB] [ET    92 ] [L0] [L1]
POC   10 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     382616 bits [Y 37.6121 dB    U 41.6133 dB    V 40.1133 dB] [ET    89 ] [L0] [L1]
POC   11 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     381424 bits [Y 37.5973 dB    U 41.6258 dB    V 40.1679 dB] [ET    88 ] [L0] [L1]
POC   12 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     382512 bits [Y 37.6099 dB    U 41.6402 dB    V 40.0843 dB] [ET    90 ] [L0] [L1]
POC   13 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     382696 bits [Y 37.6134 dB    U 41.6496 dB    V 40.0981 dB] [ET    89 ] [L0] [L1]
POC   14 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     382520 bits [Y 37.6014 dB    U 41.6740 dB    V 40.0985 dB] [ET    86 ] [L0] [L1]
POC   15 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     381784 bits [Y 37.5782 dB    U 41.6177 dB    V 40.0965 dB] [ET    88 ] [L0] [L1]
POC   16 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     382520 bits [Y 37.6017 dB    U 41.6661 dB    V 40.1723 dB] [ET    86 ] [L0] [L1]
POC   17 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     382400 bits [Y 37.6102 dB    U 41.6612 dB    V 40.1649 dB] [ET    88 ] [L0] [L1]
POC   18 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     382080 bits [Y 37.5856 dB    U 41.6989 dB    V 40.1105 dB] [ET    86 ] [L0] [L1]
POC   19 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     382048 bits [Y 37.5838 dB    U 41.6697 dB    V 40.1454 dB] [ET    86 ] [L0] [L1]
POC   20 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     382872 bits [Y 37.6147 dB    U 41.6046 dB    V 40.1225 dB] [ET    86 ] [L0] [L1]
POC   21 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     383112 bits [Y 37.6244 dB    U 41.6351 dB    V 40.1647 dB] [ET    85 ] [L0] [L1]
POC   22 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     382240 bits [Y 37.5931 dB    U 41.6072 dB    V 40.0814 dB] [ET    85 ] [L0] [L1]
POC   23 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     383032 bits [Y 37.6009 dB    U 41.5702 dB    V 40.1014 dB] [ET    87 ] [L0] [L1]
POC   24 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     383760 bits [Y 37.6163 dB    U 41.5364 dB    V 40.1569 dB] [ET    84 ] [L0] [L1]
POC   25 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     381584 bits [Y 37.5734 dB    U 41.6427 dB    V 40.1898 dB] [ET    86 ] [L0] [L1]
POC   26 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     383176 bits [Y 37.6106 dB    U 41.6772 dB    V 40.1327 dB] [ET    85 ] [L0] [L1]
POC   27 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     383344 bits [Y 37.5978 dB    U 41.6823 dB    V 40.0878 dB] [ET    86 ] [L0] [L1]
POC   28 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     383720 bits [Y 37.6201 dB    U 41.6542 dB    V 40.1566 dB] [ET    86 ] [L0] [L1]
POC   29 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     383136 bits [Y 37.5766 dB    U 41.5459 dB    V 40.0813 dB] [ET    86 ] [L0] [L1]
POC   30 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     383408 bits [Y 37.6019 dB    U 41.5546 dB    V 40.0984 dB] [ET    87 ] [L0] [L1]
POC   31 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     383816 bits [Y 37.5983 dB    U 41.7022 dB    V 40.1671 dB] [ET    84 ] [L0] [L1]
POC   32 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     384600 bits [Y 37.6087 dB    U 41.5592 dB    V 40.1691 dB] [ET    85 ] [L0] [L1]
POC   33 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     384216 bits [Y 37.6094 dB    U 41.6467 dB    V 40.1692 dB] [ET    88 ] [L0] [L1]
POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     383808 bits [Y 37.6150 dB    U 41.5983 dB    V 40.0377 dB] [ET    85 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385016 bits [Y 37.6479 dB    U 41.6351 dB    V 40.1602 dB] [ET    85 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     384184 bits [Y 37.5902 dB    U 41.6149 dB    V 40.0564 dB] [ET    83 ] [L0] [L1]
